Start playing!
Ep. 1, Ep.Timesteps 47, Episode Reward: -120.13
Ep. 2, Ep.Timesteps 125, Episode Reward: -129.49
Ep. 3, Ep.Timesteps 250, Episode Reward: -143.45
Ep. 4, Ep.Timesteps 100, Episode Reward: -106.02
Ep. 5, Ep.Timesteps 1600, Episode Reward: -134.98
Ep. 6, Ep.Timesteps 1600, Episode Reward: -139.04
Ep. 7, Ep.Timesteps 1600, Episode Reward: -137.77
Ep. 8, Ep.Timesteps 1600, Episode Reward: -129.21
Ep. 9, Ep.Timesteps 1600, Episode Reward: -127.49
Ep. 10, Ep.Timesteps 1600, Episode Reward: -122.58
Ep. 11, Ep.Timesteps 1600, Episode Reward: -120.16
Ep. 12, Ep.Timesteps 1600, Episode Reward: -108.15
Ep. 13, Ep.Timesteps 1600, Episode Reward: -111.56
Ep. 14, Ep.Timesteps 1600, Episode Reward: -107.36
Ep. 15, Ep.Timesteps 1600, Episode Reward: -106.09
Ep. 16, Ep.Timesteps 1600, Episode Reward: -104.92
Ep. 17, Ep.Timesteps 1600, Episode Reward: -102.35
Ep. 18, Ep.Timesteps 1600, Episode Reward: -98.07
Ep. 19, Ep.Timesteps 1600, Episode Reward: -96.38
Ep. 20, Ep.Timesteps 1600, Episode Reward: -94.91
Ep. 21, Ep.Timesteps 1600, Episode Reward: -94.69
Ep. 22, Ep.Timesteps 166, Episode Reward: -105.17
Ep. 23, Ep.Timesteps 1600, Episode Reward: -93.86
Ep. 24, Ep.Timesteps 143, Episode Reward: -103.82
Ep. 25, Ep.Timesteps 189, Episode Reward: -122.70
Ep. 26, Ep.Timesteps 164, Episode Reward: -104.97
Ep. 27, Ep.Timesteps 125, Episode Reward: -103.03
Ep. 28, Ep.Timesteps 933, Episode Reward: -150.33
Ep. 29, Ep.Timesteps 157, Episode Reward: -104.72
Ep. 30, Ep.Timesteps 297, Episode Reward: -112.61
Ep. 31, Ep.Timesteps 280, Episode Reward: -112.48
Ep. 32, Ep.Timesteps 171, Episode Reward: -121.50
Ep. 33, Ep.Timesteps 196, Episode Reward: -107.22
Ep. 34, Ep.Timesteps 251, Episode Reward: -126.04
Ep. 35, Ep.Timesteps 128, Episode Reward: -103.63
Ep. 36, Ep.Timesteps 157, Episode Reward: -104.69
Ep. 37, Ep.Timesteps 271, Episode Reward: -127.29
Ep. 38, Ep.Timesteps 103, Episode Reward: -116.99
Ep. 39, Ep.Timesteps 142, Episode Reward: -119.49
Ep. 40, Ep.Timesteps 306, Episode Reward: -113.15
Ep. 41, Ep.Timesteps 231, Episode Reward: -109.71
Ep. 42, Ep.Timesteps 86, Episode Reward: -115.51
Ep. 43, Ep.Timesteps 98, Episode Reward: -116.65
Ep. 44, Ep.Timesteps 131, Episode Reward: -118.82
Ep. 45, Ep.Timesteps 123, Episode Reward: -118.20
Ep. 46, Ep.Timesteps 111, Episode Reward: -117.71
Ep. 47, Ep.Timesteps 110, Episode Reward: -117.50
Ep. 48, Ep.Timesteps 90, Episode Reward: -115.78
Ep. 49, Ep.Timesteps 150, Episode Reward: -120.26
Ep. 50, Ep.Timesteps 113, Episode Reward: -118.14, Moving Average Reward: -115.14
Ep. 51, Ep.Timesteps 95, Episode Reward: -116.41, Moving Average Reward: -115.06
Ep. 52, Ep.Timesteps 108, Episode Reward: -117.48, Moving Average Reward: -114.82
Ep. 53, Ep.Timesteps 111, Episode Reward: -117.60, Moving Average Reward: -114.30
Ep. 54, Ep.Timesteps 115, Episode Reward: -118.07, Moving Average Reward: -114.54
Ep. 55, Ep.Timesteps 107, Episode Reward: -117.05, Moving Average Reward: -114.19
Ep. 56, Ep.Timesteps 107, Episode Reward: -117.19, Moving Average Reward: -113.75
Ep. 57, Ep.Timesteps 158, Episode Reward: -120.81, Moving Average Reward: -113.41
Ep. 58, Ep.Timesteps 135, Episode Reward: -119.04, Moving Average Reward: -113.21
Ep. 59, Ep.Timesteps 101, Episode Reward: -116.73, Moving Average Reward: -112.99
Ep. 60, Ep.Timesteps 140, Episode Reward: -119.63, Moving Average Reward: -112.93
Ep. 61, Ep.Timesteps 110, Episode Reward: -117.63, Moving Average Reward: -112.88
Ep. 62, Ep.Timesteps 102, Episode Reward: -117.38, Moving Average Reward: -113.07
Ep. 63, Ep.Timesteps 101, Episode Reward: -117.00, Moving Average Reward: -113.17
Ep. 64, Ep.Timesteps 87, Episode Reward: -115.72, Moving Average Reward: -113.34
Ep. 65, Ep.Timesteps 96, Episode Reward: -116.66, Moving Average Reward: -113.55
Ep. 66, Ep.Timesteps 95, Episode Reward: -116.27, Moving Average Reward: -113.78
Ep. 67, Ep.Timesteps 98, Episode Reward: -116.80, Moving Average Reward: -114.07
Ep. 68, Ep.Timesteps 117, Episode Reward: -117.70, Moving Average Reward: -114.46
Ep. 69, Ep.Timesteps 98, Episode Reward: -116.61, Moving Average Reward: -114.87
Ep. 70, Ep.Timesteps 196, Episode Reward: -122.59, Moving Average Reward: -115.42
Ep. 71, Ep.Timesteps 106, Episode Reward: -117.23, Moving Average Reward: -115.87
Ep. 72, Ep.Timesteps 113, Episode Reward: -117.71, Moving Average Reward: -116.12
Ep. 73, Ep.Timesteps 90, Episode Reward: -115.96, Moving Average Reward: -116.56
Ep. 74, Ep.Timesteps 82, Episode Reward: -115.68, Moving Average Reward: -116.80
Ep. 75, Ep.Timesteps 118, Episode Reward: -118.07, Moving Average Reward: -116.71
Ep. 76, Ep.Timesteps 84, Episode Reward: -115.98, Moving Average Reward: -116.93
Ep. 77, Ep.Timesteps 93, Episode Reward: -116.47, Moving Average Reward: -117.20
Ep. 78, Ep.Timesteps 92, Episode Reward: -116.53, Moving Average Reward: -116.52
Ep. 79, Ep.Timesteps 92, Episode Reward: -116.32, Moving Average Reward: -116.75
Ep. 80, Ep.Timesteps 94, Episode Reward: -116.48, Moving Average Reward: -116.83
Ep. 81, Ep.Timesteps 90, Episode Reward: -116.02, Moving Average Reward: -116.90
Ep. 82, Ep.Timesteps 104, Episode Reward: -117.09, Moving Average Reward: -116.81
Ep. 83, Ep.Timesteps 84, Episode Reward: -115.83, Moving Average Reward: -116.99
Ep. 84, Ep.Timesteps 84, Episode Reward: -115.64, Moving Average Reward: -116.78
Ep. 85, Ep.Timesteps 89, Episode Reward: -116.34, Moving Average Reward: -117.03
Ep. 86, Ep.Timesteps 90, Episode Reward: -116.20, Moving Average Reward: -117.26
Ep. 87, Ep.Timesteps 84, Episode Reward: -115.66, Moving Average Reward: -117.03
Ep. 88, Ep.Timesteps 86, Episode Reward: -115.96, Moving Average Reward: -117.01
Ep. 89, Ep.Timesteps 121, Episode Reward: -118.14, Moving Average Reward: -116.98
