Start playing!
Ep. 1, Ep.Timesteps 100, Episode Reward: -97.00
Ep. 2, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 3, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 4, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 5, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 6, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 7, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 8, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 9, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 10, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 11, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 12, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 13, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 14, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 15, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 16, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 17, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 18, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 19, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 20, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 21, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 22, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 23, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 24, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 25, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 26, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 27, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 28, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 29, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 30, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 31, Ep.Timesteps 100, Episode Reward: -99.00
Ep. 32, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 33, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 34, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 35, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 36, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 37, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 38, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 39, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 40, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 41, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 42, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 43, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 44, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 45, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 46, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 47, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 48, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 49, Ep.Timesteps 100, Episode Reward: -100.00
Ep. 50, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 51, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 52, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 53, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 54, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 55, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 56, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 57, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 58, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 59, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 60, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 61, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 62, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 63, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 64, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 65, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 66, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 67, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 68, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 69, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 70, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 71, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 72, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 73, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 74, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 75, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 76, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 77, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 78, Ep.Timesteps 100, Episode Reward: -99.00, Moving Average Reward: -99.96
Ep. 79, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 80, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 81, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 82, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 83, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 84, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 85, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 86, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 87, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 88, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 89, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 90, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 91, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 92, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 93, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 94, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 95, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 96, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 97, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 98, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 99, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 100, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 101, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 102, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 103, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 104, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 105, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 106, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 107, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 108, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 109, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 110, Ep.Timesteps 100, Episode Reward: -99.00, Moving Average Reward: -99.96
Ep. 111, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 112, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 113, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 114, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 115, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 116, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 117, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 118, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 119, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 120, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 121, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 122, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 123, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 124, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 125, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 126, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 127, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 128, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 129, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 130, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 131, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 132, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 133, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.98
Ep. 134, Ep.Timesteps 100, Episode Reward: -98.00, Moving Average Reward: -99.94
Ep. 135, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 136, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 137, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
