time/fps,train/learning_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,time/time_elapsed,train/critic_loss,train/n_updates,rollout/success_rate
157,0.001,10,1000,100.0,-100.0,4.178265197277069,6,9.385535782712396e-05,800,0.0
148,0.001,20,2000,100.0,-100.0,8.512212190628052,13,0.0009976071374694583,1800,0.0
146,0.001,30,3000,100.0,-98.46666666666667,12.406950550079346,20,0.012660697826649994,2800,0.0
145,0.001,40,4000,100.0,-95.075,15.175944881439209,27,0.04549364326521754,3800,0.0
144,0.001,50,5000,100.0,-94.54,16.934454097747803,34,0.0390264739561826,4800,0.0
142,0.001,60,6000,100.0,-92.16666666666667,19.148082122802734,42,0.055534768793731926,5800,0.033333335
141,0.001,70,7000,100.0,-86.92857142857143,20.9122571182251,49,0.06909784588962793,6800,0.057142857
140,0.001,80,8000,100.0,-81.9,22.260709857940675,56,0.08299977108836173,7800,0.1125
140,0.001,90,9000,100.0,-76.45555555555555,22.940576324462892,64,0.09167833387851715,8800,0.17777778
140,0.001,100,10000,100.0,-69.61,22.802502975463867,71,0.10660887807607651,9800,0.25
140,0.001,110,11000,100.0,-59.94,21.55800256729126,78,0.07836771972477435,10800,0.35
139,0.001,120,12000,100.0,-50.33,19.83704698562622,85,0.06807068340480328,11800,0.45
139,0.001,130,13000,100.0,-41.06,18.030348777770996,93,0.06149369791150093,12800,0.55
139,0.001,140,14000,100.0,-32.83,16.52274127960205,100,0.05708837244659662,13800,0.65
139,0.001,150,15000,100.0,-23.87,15.141430444717408,107,0.05463326342403889,14800,0.75
138,0.001,160,16000,100.0,-16.12,13.874007368087769,115,0.06378627156838775,15800,0.83
138,0.001,170,17000,100.0,-10.82,12.583871612548828,122,0.04482025710865855,16800,0.91
138,0.001,180,18000,100.0,-6.45,11.490398502349853,130,0.03764688402414322,17800,0.96
138,0.001,190,19000,100.0,-3.45,10.510050706863403,137,0.03525019820779562,18800,0.99
138,0.001,200,20000,100.0,-2.94,9.560619564056397,144,0.03139021007344127,19800,1.0
138,0.001,210,21000,100.0,-2.89,8.665632543563843,152,0.026688337717205288,20800,1.0
137,0.001,220,22000,100.0,-2.87,7.865368747711182,159,0.02780436127446592,21800,1.0
137,0.001,230,23000,100.0,-3.79,7.108725929260254,166,0.029636842468753456,22800,0.99
137,0.001,240,24000,100.0,-3.79,6.635223865509033,174,0.027047294359654188,23800,0.99
137,0.001,250,25000,100.0,-3.83,6.092140321731567,181,0.02864695167168975,24800,0.99
137,0.001,260,26000,100.0,-3.79,5.4115677213668825,188,0.023578721433877944,25800,0.99
137,0.001,270,27000,100.0,-3.79,4.600116348266601,196,0.033709734082221984,26800,0.99
137,0.001,280,28000,100.0,-4.43,4.0730655479431155,203,0.021734814438968898,27800,0.98
137,0.001,290,29000,100.0,-6.04,3.4927047514915466,210,0.02356066321954131,28800,0.96
137,0.001,300,30000,100.0,-6.01,3.1020919036865235,218,0.023622347307391465,29800,0.96
137,0.001,310,31000,100.0,-6.8,2.7591004014015197,225,0.01745170650072396,30800,0.95
137,0.001,320,32000,100.0,-7.18,2.4005025637149813,232,0.02198786866851151,31800,0.94
137,0.001,330,33000,100.0,-8.04,2.234882447719574,240,0.02364541991148144,32800,0.93
137,0.001,340,34000,100.0,-7.99,2.0045354163646696,247,0.02534413890913129,33800,0.93
137,0.001,350,35000,100.0,-7.92,1.7788747465610504,254,0.019370767753571272,34800,0.93
137,0.001,360,36000,100.0,-8.89,1.2570635586977006,262,0.02342408219818026,35800,0.92
137,0.001,370,37000,100.0,-8.86,0.9122295755147934,269,0.01985726780258119,36800,0.92
137,0.001,380,38000,100.0,-8.18,0.6435693718492985,277,0.01945858098566532,37800,0.93
137,0.001,390,39000,100.0,-6.52,0.4047637734329328,284,0.021073203082196415,38800,0.95
137,0.001,400,40000,100.0,-6.51,0.2136164528678637,291,0.026883831387385725,39800,0.95
136,0.001,410,41000,100.0,-5.67,0.10032756293890997,299,0.02151010391302407,40800,0.96
136,0.001,420,42000,100.0,-5.16,-0.07959743996150792,306,0.01651933342218399,41800,0.97
136,0.001,430,43000,100.0,-3.31,-0.17821096900384872,314,0.020891576590947807,42800,0.99
136,0.001,440,44000,100.0,-3.32,-0.28843448877567424,321,0.015840432373806834,43800,0.99
136,0.001,450,45000,100.0,-3.31,-0.363670226862655,328,0.01664505071938038,44800,0.99
136,0.001,460,46000,100.0,-2.37,-0.4442300776625052,336,0.015537667223252356,45800,1.0
136,0.001,470,47000,100.0,-2.89,-0.46590603340417147,343,0.017116068080067635,46800,1.0
136,0.001,480,48000,100.0,-3.1,-0.580457016080618,351,0.018902155510149895,47800,1.0
136,0.001,490,49000,100.0,-3.12,-0.6654780501127243,358,0.019379136068746448,48800,1.0
136,0.001,500,50000,100.0,-3.61,-0.6702093128859997,365,0.016491131104994564,49800,0.99
