time/time_elapsed,train/critic_loss,train/learning_rate,train/actor_loss,time/fps,time/episodes,rollout/ep_rew_mean,train/n_updates,time/total_timesteps,rollout/ep_len_mean,rollout/success_rate
2,0.18704622551798822,0.001,0.9388297969102859,159,4,-97.5,200,400,100.0,0.0
6,0.11980124659836293,0.001,1.4731295776367188,120,8,-98.75,600,800,100.0,0.0
10,0.11854531116783619,0.001,2.0315590393543244,110,12,-99.16666666666667,1000,1200,100.0,0.0
15,0.09716446071863175,0.001,2.8419102144241335,105,16,-98.0,1400,1600,100.0,0.0
19,0.11335781067609788,0.001,3.194378745555878,102,20,-98.4,1800,2000,100.0,0.0
24,0.116933473944664,0.001,3.506856119632721,99,24,-98.66666666666667,2200,2400,100.0,0.0
28,0.11156648818403482,0.001,3.237471668720245,98,28,-98.85714285714286,2600,2800,100.0,0.0
32,0.11315471570938826,0.001,2.99454980134964,97,32,-99.0,3000,3200,100.0,0.0
37,0.14990120351314545,0.001,2.7593510258197784,97,36,-99.02777777777777,3400,3600,100.0,0.0
41,0.14052637927234174,0.001,2.3976703870296476,96,40,-99.125,3800,4000,100.0,0.0
46,0.20227671146392823,0.001,1.6522737443447113,95,44,-99.1590909090909,4200,4400,100.0,0.0
50,0.16769353859126568,0.001,0.8130969198420643,95,48,-98.77083333333333,4600,4800,100.0,0.0
54,0.16080582909286023,0.001,0.02194035821594298,94,52,-96.57692307692308,5000,5200,100.0,0.01923077
59,0.21670827977359294,0.001,-0.9491885858029128,94,56,-96.82142857142857,5400,5600,100.0,0.017857144
63,0.26554400205612183,0.001,-2.1084018352627756,93,60,-97.01666666666667,5800,6000,100.0,0.016666668
68,0.2734809154272079,0.001,-3.7144379734992983,93,64,-97.203125,6200,6400,100.0,0.015625
72,0.3485634270310402,0.001,-5.784411752223969,93,68,-97.30882352941177,6600,6800,100.0,0.014705882
76,0.4499718475341797,0.001,-7.539084095954895,93,72,-97.43055555555556,7000,7200,100.0,0.013888889
81,0.4637046445906162,0.001,-8.865655765533447,93,76,-97.5657894736842,7400,7600,100.0,0.013157895
86,0.6192966702580452,0.001,-11.453816828727723,92,80,-97.65,7800,8000,100.0,0.0125
90,0.44142040133476257,0.001,-13.965138683319092,92,84,-97.76190476190476,8200,8400,100.0,0.011904762
95,0.48025315076112746,0.001,-15.235765743255616,92,88,-97.8409090909091,8600,8800,100.0,0.011363637
99,0.42140833765268326,0.001,-15.941558818817139,92,92,-97.93478260869566,9000,9200,100.0,0.010869565
103,0.39727818563580514,0.001,-16.57762203216553,92,96,-98.02083333333333,9400,9600,100.0,0.010416667
108,0.8498420545458794,0.001,-17.489059810638427,92,100,-98.08,9800,10000,100.0,0.01
112,0.4375837332010269,0.001,-19.200471982955932,92,104,-98.18,10200,10400,100.0,0.01
117,0.33382862657308576,0.001,-20.819008140563966,92,108,-98.18,10600,10800,100.0,0.01
121,0.36446622014045715,0.001,-21.935057582855226,92,112,-98.18,11000,11200,100.0,0.01
125,0.37193594574928285,0.001,-22.562479152679444,92,116,-98.37,11400,11600,100.0,0.01
130,0.3546896056830883,0.001,-23.987112483978272,92,120,-98.37,11800,12000,100.0,0.01
134,0.42960853353142736,0.001,-24.368010063171386,91,124,-98.37,12200,12400,100.0,0.01
139,0.40930984780192375,0.001,-25.516812381744383,91,128,-98.36,12600,12800,100.0,0.01
143,0.3750123305618763,0.001,-25.93396535873413,91,132,-98.35,13000,13200,100.0,0.01
148,0.4286259913444519,0.001,-26.591817245483398,91,136,-98.37,13400,13600,100.0,0.01
152,0.3701618261635303,0.001,-27.80329927444458,91,140,-98.35,13800,14000,100.0,0.01
157,0.4180906255543232,0.001,-28.32701286315918,91,144,-98.37,14200,14400,100.0,0.01
161,0.44169429063796994,0.001,-28.992824230194092,91,148,-98.48,14600,14800,100.0,0.01
165,0.2814606872200966,0.001,-28.86209253311157,91,152,-99.67,15000,15200,100.0,0.0
170,0.34514819175004957,0.001,-29.209070129394533,91,156,-99.65,15400,15600,100.0,0.0
174,0.30786450192332265,0.001,-29.583975505828857,91,160,-99.66,15800,16000,100.0,0.0
