time/episodes,train/n_updates,time/fps,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/critic_loss
10,800,119,-46.2522032,0.0,100.0,0.001,8,1000,0.6544425612688065,0.0006899248805711977
20,1800,116,-36.73429625,0.0,100.0,0.001,17,2000,0.9318074887990951,0.0005016086736577563
30,2800,115,-30.93866063333333,0.0,100.0,0.001,26,3000,1.423389185667038,0.0005262724877684377
40,3800,115,-27.496212274999998,0.025,100.0,0.001,34,4000,1.8292598569393157,0.000433487708796747
50,4800,113,-24.628327799999997,0.02,100.0,0.001,44,5000,2.150062882900238,0.0005222691834205762
60,5800,114,-22.210778499999996,0.05,100.0,0.001,52,6000,2.4122815895080567,0.00044826782570453363
70,6800,115,-20.069964828571432,0.057142857,100.0,0.001,60,7000,2.578324167728424,0.0004490571966744028
80,7800,116,-18.314657887499997,0.1,100.0,0.001,68,8000,2.7309502840042112,0.00039798539044568317
90,8800,116,-17.01364548888889,0.11111111,100.0,0.001,77,9000,2.818304522037506,0.0004252590613032226
100,9800,117,-15.889334699999997,0.16,100.0,0.001,85,10000,2.856037676334381,0.00039380275105941107
110,10800,117,-11.747785079999998,0.23,100.0,0.001,93,11000,2.8824933433532713,0.00040646376786753537
120,11800,117,-9.412076480000001,0.3,100.0,0.001,102,12000,2.8616676831245424,0.0006069546162325424
130,12800,117,-7.894464650000001,0.36,100.0,0.001,110,13000,2.8261106276512145,0.000560829209862277
140,13800,117,-6.529369920000001,0.43,100.0,0.001,118,14000,2.756448724269867,0.0005252855156140868
150,14800,118,-5.551612600000001,0.51,100.0,0.001,126,15000,2.665898895263672,0.0003586124895082321
160,15800,117,-4.89522385,0.56,100.0,0.001,136,16000,2.5807639598846435,0.0004086510588240344
170,16800,116,-4.475693700000001,0.64,100.0,0.001,145,17000,2.5177529191970827,0.0005204016873904038
180,17800,116,-4.298560349999999,0.66,100.0,0.001,154,18000,2.47231360912323,0.0007660093522281386
190,18800,116,-3.97901643,0.73,100.0,0.001,162,19000,2.3891441559791566,0.00033074544015107674
200,19800,116,-3.7448387899999993,0.77,100.0,0.001,171,20000,2.346717553138733,0.0006022352924628649
210,20800,117,-3.6228973100000004,0.77,100.0,0.001,179,21000,2.297681815624237,0.00037449483730597424
220,21800,117,-3.4983849999999994,0.8,100.0,0.001,187,22000,2.21485835313797,0.00042219806506182066
230,22800,117,-3.3954490300000004,0.83,100.0,0.001,195,23000,2.1434839081764223,0.0003422371124906931
240,23800,117,-3.4271603999999996,0.82,100.0,0.001,204,24000,2.0891641497612,0.0003774020486162044
250,24800,117,-3.47663379,0.81,100.0,0.001,213,25000,2.032910844087601,0.00047313064977061003
260,25800,117,-3.511563960000001,0.82,100.0,0.001,222,26000,1.9995534706115723,0.00040440251919790173
270,26800,117,-3.49131664,0.83,100.0,0.001,230,27000,1.9492012536525727,0.0003390730537648778
280,27800,117,-3.4365363700000007,0.84,100.0,0.001,238,28000,1.9067014181613922,0.0004374985034519341
290,28800,117,-3.4217446400000004,0.84,100.0,0.001,247,29000,1.8845402216911316,0.0009397054056171328
300,29800,117,-3.5041261500000007,0.81,100.0,0.001,255,30000,1.852725853919983,0.0002260135510005057
310,30800,117,-3.44274244,0.84,100.0,0.001,263,31000,1.831608338356018,0.0002506218748749234
320,31800,117,-3.3842737599999997,0.84,100.0,0.001,272,32000,1.8042151701450349,0.00026651398504327515
330,32800,117,-3.3894837199999994,0.84,100.0,0.001,280,33000,1.7750478029251098,0.000285741708939895
340,33800,117,-3.39044154,0.86,100.0,0.001,289,34000,1.7528918826580047,0.00024079544047708623
350,34800,117,-3.3180616899999995,0.88,100.0,0.001,297,35000,1.7300438165664673,0.0003892902735969983
360,35800,117,-3.1926186099999994,0.9,100.0,0.001,306,36000,1.7141147673130035,0.0003411686670733616
370,36800,117,-3.40700724,0.87,100.0,0.001,314,37000,1.703216106891632,0.00025080484861973674
380,37800,117,-3.2796413299999996,0.9,100.0,0.001,322,38000,1.6632711696624756,0.0002264035191910807
390,38800,117,-3.2990552900000005,0.9,100.0,0.001,331,39000,1.656003761291504,0.0006603798938158434
400,39800,117,-3.2051431399999997,0.93,100.0,0.001,339,40000,1.6350845098495483,0.0003592395983287133
410,40800,117,-3.23953929,0.92,100.0,0.001,347,41000,1.6077788114547729,0.0003786670398403658
420,41800,117,-3.4648111000000004,0.9,100.0,0.001,356,42000,1.5951245093345643,0.0003759193239966407
430,42800,117,-3.46383605,0.9,100.0,0.001,364,43000,1.5996855545043944,0.00023434483344317414
440,43800,118,-3.3997481400000003,0.9,100.0,0.001,372,44000,1.590848866701126,0.00023038983774313238
450,44800,118,-3.37214365,0.9,100.0,0.001,380,45000,1.5829383385181428,0.00044456861360231414
460,45800,118,-3.39965894,0.89,100.0,0.001,388,46000,1.5750842022895812,0.0003366126534092473
470,46800,118,-3.24311127,0.9,100.0,0.001,397,47000,1.5672216165065764,0.0007624587413738482
480,47800,118,-3.25706794,0.9,100.0,0.001,405,48000,1.5506402838230133,0.00041067965416004883
490,48800,118,-3.12755131,0.91,100.0,0.001,413,49000,1.523242280483246,0.00019261966335761826
500,49800,118,-3.0775738100000005,0.91,100.0,0.001,422,50000,1.5160844445228576,0.00023051675059832633
510,50800,118,-3.2003669500000003,0.88,100.0,0.001,430,51000,1.497234491109848,0.00025605596500099636
520,51800,118,-3.0386485299999997,0.89,100.0,0.001,438,52000,1.4924549746513367,0.0002725128903693985
530,52800,118,-3.1121292199999995,0.86,100.0,0.001,447,53000,1.4910556435585023,0.00035533637026674114
540,53800,118,-3.0351028599999994,0.87,100.0,0.001,455,54000,1.4783602857589722,0.00041882681427523493
550,54800,118,-3.1123441400000003,0.87,100.0,0.001,463,55000,1.473888533115387,0.0002526372343709227
