time/episodes,rollout/success_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/learning_rate,time/total_timesteps,train/critic_loss
10,0.0,152,6,100.0,-21.734509600000003,0.6237757301330566,800,0.001,1000,0.0014595596404979006
20,0.0,143,13,100.0,-18.49401775,0.992260423898697,1800,0.001,2000,0.0015856690768850967
30,0.0,138,21,100.0,-16.776722699999997,1.2636365461349488,2800,0.001,3000,0.0016070971568115057
40,0.0,137,28,100.0,-16.590220199999997,1.5112872195243836,3800,0.001,4000,0.0019934091647155583
50,0.02,137,36,100.0,-15.884058340000001,1.7561448860168456,4800,0.001,5000,0.0018151964480057358
60,0.033333335,137,43,100.0,-15.011030266666667,1.928079686164856,5800,0.001,6000,0.0015850193658843636
70,0.12857144,137,50,100.0,-13.619613557142856,2.091995165348053,6800,0.001,7000,0.0014357771520735695
80,0.175,137,58,100.0,-12.6374164875,2.2067463779449463,7800,0.001,8000,0.0016610325896181167
90,0.23333333,138,65,100.0,-11.770670100000002,2.246827735900879,8800,0.001,9000,0.0017867727938573807
100,0.31,138,72,100.0,-10.9142491,2.2661940479278564,9800,0.001,10000,0.001315639023669064
110,0.41,138,79,100.0,-9.06023657,2.2885439682006834,10800,0.001,11000,0.0015004894189769402
120,0.5,138,86,100.0,-7.83095393,2.310966296195984,11800,0.001,12000,0.001812730995588936
130,0.59,137,94,100.0,-6.884364770000001,2.2993034505844117,12800,0.001,13000,0.0011002357123652473
140,0.69,137,101,100.0,-5.55830712,2.3064921522140502,13800,0.001,14000,0.0010384883283404633
150,0.77,137,109,100.0,-4.618461440000001,2.3213590717315675,14800,0.001,15000,0.0011475345934741199
160,0.86,137,116,100.0,-3.8385866999999996,2.3191463279724123,15800,0.001,16000,0.001240752597223036
170,0.86,137,123,100.0,-3.721946489999999,2.337272353172302,16800,0.001,17000,0.0009962687344523147
180,0.89,137,131,100.0,-3.47965462,2.347686462402344,17800,0.001,18000,0.001036208561854437
190,0.92,137,138,100.0,-3.2001814499999996,2.3597026252746582,18800,0.001,19000,0.0013108452904270962
