train/n_updates,train/actor_loss,rollout/success_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,time/fps
800,2.6786225032806397,0.0,10,7,-99.9,0.0022856043535284696,100.0,1000,0.001,141
1800,4.887369003295898,0.0,20,14,-99.85,0.00513737540168222,100.0,2000,0.001,138
2800,7.126129350662231,0.0,30,21,-99.9,0.005323441723594442,100.0,3000,0.001,137
3800,9.292641277313232,0.0,40,29,-99.925,0.00405638970551081,100.0,4000,0.001,135
4800,11.167398281097412,0.0,50,36,-99.94,0.0031711312918923794,100.0,5000,0.001,136
5800,12.945947132110597,0.0,60,43,-99.93333333333334,0.006265213913284242,100.0,6000,0.001,138
6800,14.656612339019775,0.0,70,51,-99.92857142857143,0.005334694389021024,100.0,7000,0.001,136
7800,16.331745376586912,0.0,80,59,-99.9375,0.005101934995036572,100.0,8000,0.001,135
8800,18.27990856170654,0.0,90,66,-99.94444444444444,0.009342322330921889,100.0,9000,0.001,134
9800,20.12415615081787,0.0,100,73,-99.93,0.011529499643947928,100.0,10000,0.001,135
10800,22.03492733001709,0.0,110,80,-99.94,0.007306406444404274,100.0,11000,0.001,136
11800,23.918119964599608,0.0,120,88,-99.94,0.013148023197427392,100.0,12000,0.001,135
12800,25.902115058898925,0.0,130,96,-99.89,0.01160234209150076,100.0,13000,0.001,135
13800,27.594467124938966,0.0,140,103,-99.88,0.007660699267871678,100.0,14000,0.001,135
14800,29.36621551513672,0.0,150,109,-99.88,0.01673432605341077,100.0,15000,0.001,136
15800,30.965324478149412,0.0,160,117,-99.83,0.012430955157615244,100.0,16000,0.001,135
16800,32.62170143127442,0.0,170,125,-99.84,0.017690827026963233,100.0,17000,0.001,135
17800,34.26598304748535,0.0,180,131,-99.83,0.015301890978589654,100.0,18000,0.001,136
18800,35.89210792541504,0.0,190,138,-99.83,0.015832579722628,100.0,19000,0.001,137
19800,37.64100608825684,0.0,200,144,-99.83,0.013012721091508866,100.0,20000,0.001,138
20800,39.222908401489256,0.0,210,150,-99.83,0.016359060956165194,100.0,21000,0.001,139
21800,40.682351455688476,0.0,220,157,-99.85,0.012102542417123914,100.0,22000,0.001,139
